"Date","Price"
16-09-2022,6.846
15-09-2022,6.939
14-09-2022,7.001
13-09-2022,7.047
10-09-2022,7.079
09-09-2022,7.110
08-09-2022,7.152
07-09-2022,7.177
06-09-2022,7.218
03-09-2022,7.200
02-09-2022,7.288
01-09-2022,7.373
31-08-2022,7.392
27-08-2022,7.531
26-08-2022,7.480
25-08-2022,7.410
24-08-2022,7.304
23-08-2022,7.202
20-08-2022,7.136
19-08-2022,7.068
18-08-2022,6.995
17-08-2022,6.946
13-08-2022,6.842
12-08-2022,6.781
11-08-2022,6.767
10-08-2022,6.785
09-08-2022,6.789
06-08-2022,6.839
05-08-2022,6.877
04-08-2022,6.891
03-08-2022,6.942
02-08-2022,7.101
30-07-2022,7.220
29-07-2022,7.219
28-07-2022,7.191
27-07-2022,7.165
26-07-2022,7.173
23-07-2022,7.208
22-07-2022,7.262
21-07-2022,7.321
20-07-2022,7.366
19-07-2022,7.415
16-07-2022,7.462
15-07-2022,7.378
14-07-2022,7.405
13-07-2022,7.365
12-07-2022,7.399
09-07-2022,7.276
08-07-2022,7.301
07-07-2022,7.304
06-07-2022,7.371
05-07-2022,7.439
02-07-2022,7.420
01-07-2022,7.369
30-06-2022,7.465
29-06-2022,7.502
28-06-2022,7.570
25-06-2022,7.583
24-06-2022,7.599
23-06-2022,7.624
22-06-2022,7.626
21-06-2022,7.703
18-06-2022,7.699
16-06-2022,7.683
15-06-2022,7.586
14-06-2022,7.523
11-06-2022,7.492
10-06-2022,7.423
09-06-2022,7.579
08-06-2022,7.455
07-06-2022,7.491
02-06-2022,7.497
01-06-2022,7.237
31-05-2022,7.079
28-05-2022,7.036
27-05-2022,7.029
26-05-2022,6.827
25-05-2022,6.746
24-05-2022,6.730
21-05-2022,6.782
20-05-2022,6.848
19-05-2022,6.895
18-05-2022,6.950
17-05-2022,6.978
14-05-2022,7.002
13-05-2022,6.919
12-05-2022,6.907
11-05-2022,6.857
10-05-2022,6.875
07-05-2022,7.117
06-05-2022,7.169
05-05-2022,7.244
30-04-2022,7.226
29-04-2022,7.269
28-04-2022,7.214
27-04-2022,6.992
26-04-2022,6.916
23-04-2022,6.991
22-04-2022,6.952
21-04-2022,7.008
20-04-2022,6.971
