"Date","Fuelprice1","Fuelprice2","Fuelprice3","Fuelprice4","Fuelprice5"
31-12-2021,4.912,4.587,3.336,4.435,4.738
30-12-2021,4.890,4.565,3.322,4.407,4.711
24-12-2021,4.879,4.554,3.262,4.342,4.638
23-12-2021,4.873,4.548,3.263,4.335,4.633
22-12-2021,4.874,4.549,3.228,4.329,4.628
21-12-2021,4.888,4.563,3.223,4.327,4.627
20-12-2021,4.986,4.661,3.257,4.419,4.720
18-12-2021,5.066,4.741,3.257,4.564,4.865
17-12-2021,5.071,4.746,3.279,4.578,4.878
16-12-2021,5.071,4.746,3.243,4.579,4.879
15-12-2021,5.082,4.757,3.251,4.588,4.887
14-12-2021,5.085,4.760,3.256,4.591,4.885
11-12-2021,5.086,4.761,3.248,4.575,4.853
10-12-2021,5.100,4.775,3.254,4.557,4.822
09-12-2021,5.096,4.771,3.237,4.503,4.776
08-12-2021,5.028,4.703,3.174,4.471,4.755
07-12-2021,4.974,4.649,3.111,4.404,4.718
04-12-2021,4.915,4.650,3.093,4.413,4.717
03-12-2021,4.921,4.656,3.125,4.429,4.735
02-12-2021,4.992,4.727,3.125,4.501,4.809
01-12-2021,5.008,4.743,3.130,4.522,4.834
30-11-2021,5.051,4.786,3.240,4.566,4.886
27-11-2021,5.079,4.814,3.324,4.587,4.907
26-11-2021,5.206,4.941,3.424,4.716,5.035
25-11-2021,5.192,4.927,3.439,4.734,5.032
24-11-2021,5.172,4.907,3.422,4.727,5.022
23-11-2021,5.150,4.885,3.376,4.716,5.015
20-11-2021,5.100,4.835,3.365,4.687,4.982
19-11-2021,5.156,4.891,3.390,4.763,5.015
18-11-2021,5.160,4.895,3.402,4.835,5.030
17-11-2021,5.183,4.918,3.415,4.910,5.133
16-11-2021,5.166,4.901,3.371,4.895,5.106
13-11-2021,5.228,4.963,3.381,4.881,5.078
11-11-2021,5.247,4.982,3.400,4.878,5.091
10-11-2021,5.230,4.965,3.402,4.876,5.101
09-11-2021,5.221,4.956,3.390,4.870,5.108
06-11-2021,5.225,4.960,3.384,4.876,5.119
05-11-2021,5.211,4.946,3.358,4.878,5.142
04-11-2021,5.219,4.954,3.365,4.880,5.152
03-11-2021,5.247,4.982,3.385,4.879,5.161
30-10-2021,5.241,4.976,3.411,4.867,5.159
29-10-2021,5.249,4.984,3.422,4.859,5.153
28-10-2021,5.261,4.996,3.438,4.849,5.150
27-10-2021,5.275,5.010,3.457,4.839,5.144
26-10-2021,5.268,5.003,3.446,4.826,5.135
23-10-2021,5.232,4.967,3.414,4.803,5.112
22-10-2021,5.204,4.939,3.413,4.796,5.101
21-10-2021,5.221,4.956,3.424,4.795,5.096
20-10-2021,5.203,4.938,3.423,4.790,5.081
19-10-2021,5.214,4.949,3.437,4.808,5.088
16-10-2021,5.200,4.935,3.450,4.806,5.079
15-10-2021,5.177,4.912,3.397,4.797,5.064
14-10-2021,5.173,4.908,3.400,4.814,5.078
13-10-2021,5.193,4.928,3.404,4.781,5.040
12-10-2021,5.189,4.924,3.423,4.777,5.035
09-10-2021,5.127,4.862,3.385,4.763,5.020
08-10-2021,5.096,4.831,3.352,4.735,4.982
07-10-2021,5.098,4.833,3.371,4.743,4.988
06-10-2021,5.048,4.783,3.388,4.709,4.959
05-10-2021,4.995,4.730,3.294,4.681,4.944
02-10-2021,4.962,4.697,3.245,4.658,4.933
01-10-2021,4.982,4.717,3.259,4.655,4.952
30-09-2021,4.956,4.691,3.210,4.617,4.922
29-09-2021,4.910,4.645,3.191,4.578,4.884
28-09-2021,4.877,4.612,3.189,4.549,4.854
25-09-2021,4.828,4.563,3.141,4.516,4.822
24-09-2021,4.791,4.526,3.116,4.478,4.784
23-09-2021,4.760,4.495,3.092,4.463,4.769
22-09-2021,4.732,4.467,3.040,4.454,4.757
21-09-2021,4.713,4.448,3.051,4.476,4.777
18-09-2021,4.688,4.423,3.040,4.473,4.773
17-09-2021,4.660,4.395,3.030,4.479,4.782
16-09-2021,4.632,4.367,3.019,4.476,4.781
15-09-2021,4.608,4.343,2.964,4.466,4.768
14-09-2021,4.592,4.327,2.961,4.473,4.787
11-09-2021,4.583,4.318,2.937,4.471,4.790
10-09-2021,4.577,4.312,2.918,4.465,4.777
09-09-2021,4.573,4.308,2.917,4.466,4.777
08-09-2021,4.575,4.310,2.918,4.472,4.803
07-09-2021,4.585,4.320,2.926,4.481,4.812
04-09-2021,4.588,4.323,2.935,4.484,4.808
03-09-2021,4.585,4.320,2.943,4.473,4.799
02-09-2021,4.556,4.291,2.914,4.482,4.803
01-09-2021,4.582,4.317,2.929,4.501,4.814
28-08-2021,4.574,4.309,2.943,4.484,4.794
27-08-2021,4.543,4.278,2.908,4.456,4.778
26-08-2021,4.517,4.252,2.907,4.429,4.746
