"Date"	"Fuel1"	"Fuel2"	"Fuel3"	"Fuel4"	"Fuel5"
15-09-2022	6.939	6.614	5.421	5.685	6.234
14-09-2022	7.001	6.676	5.488	5.641	6.182
13-09-2022	7.047	6.722	5.527	5.647	6.198
10-09-2022	7.079	6.754	5.577	5.691	6.251
09-09-2022	7.110	6.785	5.613	5.725	6.291
08-09-2022	7.152	6.827	5.655	5.762	6.335
07-09-2022	7.177	6.852	5.687	5.804	6.385
06-09-2022	7.218	6.893	5.857	5.815	6.392
03-09-2022	7.200	6.875	5.719	5.800	6.358
02-09-2022	7.288	6.963	5.800	5.863	6.425
01-09-2022	7.373	7.048	5.922	5.949	6.518
31-08-2022	7.392	7.067	5.985	5.973	6.531
27-08-2022	7.531	7.206	6.069	6.021	6.648
26-08-2022	7.480	7.155	6.069	6.075	6.733
25-08-2022	7.410	7.085	6.091	6.062	6.755
24-08-2022	7.304	6.979	5.909	6.062	6.757
23-08-2022	7.202	6.877	5.761	6.017	6.733
20-08-2022	7.136	6.811	5.690	6.013	6.738
19-08-2022	7.068	6.743	5.566	5.970	6.690
18-08-2022	6.995	6.670	5.423	5.967	6.678
17-08-2022	6.946	6.621	5.353	5.979	6.696
13-08-2022	6.842	6.517	5.368	5.992	6.683
12-08-2022	6.781	6.456	5.241	5.979	6.687
11-08-2022	6.767	6.442	5.205	5.985	6.702
10-08-2022	6.785	6.460	5.224	5.998	6.726
09-08-2022	6.789	6.464	5.243	6.019	6.691
06-08-2022	6.839	6.514	5.301	6.062	6.728
05-08-2022	6.877	6.552	5.406	6.183	6.839
04-08-2022	6.891	6.566	5.468	6.253	6.906
03-08-2022	6.942	6.617	5.553	6.299	6.945
02-08-2022	7.101	6.776	5.629	6.437	7.073
30-07-2022	7.220	6.895	5.729	6.497	7.129
29-07-2022	7.219	6.894	5.736	6.493	7.126
28-07-2022	7.191	6.866	5.589	6.453	7.083
27-07-2022	7.165	6.840	5.484	6.429	7.084
26-07-2022	7.173	6.848	5.487	6.446	7.120
23-07-2022	7.208	6.883	5.555	6.470	7.164
22-07-2022	7.262	6.937	5.626	6.524	7.239
21-07-2022	7.321	6.996	5.726	6.583	7.292
20-07-2022	7.366	7.041	5.794	6.607	7.286
19-07-2022	7.415	7.090	5.861	6.662	7.307
16-07-2022	7.462	7.137	5.926	6.739	7.357
15-07-2022	7.378	7.053	5.846	6.807	7.394
14-07-2022	7.405	7.080	5.897	6.850	7.419
13-07-2022	7.365	7.040	5.850	6.911	7.485
12-07-2022	7.399	7.074	5.881	6.977	7.563
09-07-2022	7.276	6.951	5.762	6.992	7.573
08-07-2022	7.301	6.976	5.787	6.956	7.526
07-07-2022	7.304	6.979	5.796	6.861	7.441
06-07-2022	7.371	7.046	5.879	6.939	7.552
05-07-2022	7.439	7.114	5.959	7.057	7.669
02-07-2022	7.420	7.095	5.947	7.035	7.646
01-07-2022	7.369	7.044	5.965	7.108	7.739
30-06-2022	7.465	7.140	6.063	7.184	7.844
29-06-2022	7.502	7.177	6.103	7.162	7.776
28-06-2022	7.570	7.245	6.167	7.151	7.754
25-06-2022	7.583	7.258	6.230	7.124	7.887
24-06-2022	7.599	7.274	6.202	7.115	7.888
23-06-2022	7.624	7.299	6.181	7.111	7.887
22-06-2022	7.626	7.301	6.214	7.163	7.955
21-06-2022	7.703	7.378	6.233	7.150	7.913
18-06-2022	7.699	7.374	6.202	7.187	7.940
16-06-2022	7.683	7.358	6.246	7.304	8.021
15-06-2022	7.586	7.261	6.124	7.331	8.083
14-06-2022	7.523	7.198	5.969	7.323	8.017
11-06-2022	7.492	7.167	5.919	7.328	8.005
10-06-2022	7.423	7.098	5.931	7.323	7.942
09-06-2022	7.579	7.254	5.752	7.316	7.997
08-06-2022	7.455	7.130	5.655	7.397	8.153
07-06-2022	7.491	7.166	5.599	7.463	8.232
02-06-2022	7.497	7.172	5.582	7.519	8.311
01-06-2022	7.237	6.912	5.433	7.406	8.194
31-05-2022	7.079	6.754	5.394	7.213	7.950
28-05-2022	7.036	6.711	5.360	7.129	7.864
27-05-2022	7.029	6.704	5.366	7.076	7.798
26-05-2022	6.827	6.502	5.182	6.895	7.504
25-05-2022	6.746	6.421	5.130	6.714	7.306
24-05-2022	6.730	6.405	5.153	6.770	7.358
21-05-2022	6.782	6.457	5.216	6.822	7.421
20-05-2022	6.848	6.523	5.281	6.826	7.430
19-05-2022	6.895	6.570	5.328	6.876	7.481
18-05-2022	6.950	6.625	5.389	6.942	7.554
17-05-2022	6.978	6.653	5.416	6.932	7.581
14-05-2022	7.002	6.677	5.441	6.791	7.440
13-05-2022	6.919	6.594	5.361	6.515	6.927
12-05-2022	6.907	6.582	5.394	6.407	6.819
11-05-2022	6.857	6.532	5.427	6.408	6.834
10-05-2022	6.875	6.550	5.494	6.430	6.862
07-05-2022	7.117	6.792	5.575	6.517	6.939
06-05-2022	7.169	6.844	5.612	6.352	6.749
05-05-2022	7.244	6.919	5.629	6.343	6.733
30-04-2022	7.226	6.901	5.704	6.237	6.613
29-04-2022	7.269	6.944	5.653	6.260	6.644
28-04-2022	7.214	6.889	5.559	6.128	6.477
27-04-2022	6.992	6.667	5.322	5.947	6.289
